"","shp_binomial","tip.label","ï..MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd"
"1",NA,"Alouatta_coibensis","Primates","Atelidae","Alouatta","coibensis","Alouatta_coibensis",7.94,7.31,7.63,-81.23,-81.89,-81.56
"2",NA,"Alouatta_seniculus","Primates","Atelidae","Alouatta","seniculus","Alouatta_seniculus",12.2,-10.84,0.68,-60.66,-77.13,-68.89
"3",NA,"Aotus_azarae","Primates","Aotidae","Aotus","azarae","Aotus_azarae",-9.91,-24.19,-17.05,-57.59,-68.65,-63.12
"4",NA,"Aotus_lemurinus","Primates","Aotidae","Aotus","lemurinus","Aotus_lemurinus",11.11,1.32,6.21,-70.97,-82.54,-76.76
"5",NA,"Aotus_nancymaae","Primates","Aotidae","Aotus","nancymaae","Aotus_nancymaae",-2.72,-6.47,-4.59,-66.61,-75.95,-71.28
"6",NA,"Aotus_nigriceps","Primates","Aotidae","Aotus","nigriceps","Aotus_nigriceps",-2.03,-13.42,-7.72,-55.09,-76.5,-65.79
"7",NA,"Aotus_trivirgatus","Primates","Aotidae","Aotus","trivirgatus","Aotus_trivirgatus",9.06,-0.76,4.15,-60.35,-70.9,-65.62
"8",NA,"Aotus_vociferans","Primates","Aotidae","Aotus","vociferans","Aotus_vociferans",7.09,-4.95,1.06,-60.6,-78.2,-69.4
"9",NA,"Cacajao_melanocephalus","Primates","Pitheciidae","Cacajao","melanocephalus","Cacajao_melanocephalus",4.03,-2.95,0.53,-61.26,-72.43,-66.84
"10",NA,"Cebus_capucinus","Primates","Cebidae","Cebus","capucinus","Cebus_capucinus",16.02,1.46,8.74,-74.85,-88.77,-81.81
"11",NA,"Cebus_olivaceus","Primates","Cebidae","Cebus","olivaceus","Cebus_olivaceus",11.37,-1.8,4.78,-49.88,-70.6,-60.24
"12",NA,"Pithecia_irrorata","Primates","Pitheciidae","Pithecia","irrorata","Pithecia_irrorata",-2.25,-14.05,-8.15,-55.26,-71.45,-63.36
"13",NA,"Pithecia_monachus","Primates","Pitheciidae","Pithecia","monachus","Pithecia_monachus",1.47,-14.05,-6.29,-55.26,-77.85,-66.56
"14",NA,"Saguinus_graellsi","Primates","Cebidae","Saguinus","graellsi","Saguinus_graellsi",0.9,-4.83,-1.96,-73.31,-78.37,-75.84
