"species_search","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifiers","facts","relations","isInCluster","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http...unknown.org.nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","recordedBy","catalogNumber","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","name","lifeStage","X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.","individualCount","sex","continent","institutionKey","collectionKey","recordNumber","habitat","institutionID","higherGeography","endDayOfYear","verbatimCoordinateSystem","locality","type","preparations","startDayOfYear","occurrenceRemarks","higherClassification","materialSampleID","disposition","infraspecificEpithet","elevation","fieldNumber","language","locationRemarks","georeferenceProtocol","organismID","ownerInstitutionCode","datasetID","accessRights","collectionID","download"
"Chiropotes utahicki","3058821774","Chiropotes utahickae Hershkovitz, 1985",-6.047387,-50.097684,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:33:27.294+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU","2021-03-03T12:26:36",31362,"Pará",2021,3,2,"2021-03-02T16:19:25","2021-03-03T16:58:11.000+00:00","2021-09-07T23:33:27.294+00:00","https://www.inaturalist.org/observations/70495340","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","nereston-camargo","70495340","nereston-camargo","Coordinate uncertainty increased to 31362m to protect threatened taxon","Tue Mar 02 2021 16:19:25 GMT-0300 (GMT-3)","iNaturalist research-grade observations","Pará, BR","Observations","3058821774","https://www.inaturalist.org/observations/70495340","74187","nereston-camargo","70495340","https://www.inaturalist.org/observations/70495340","iNaturalist","© nereston-camargo some rights reserved","19:19:25Z","nereston-camargo","157551777","Chiropotes utahickae Hershkovitz, 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","3068029562","Chiropotes utahickae Hershkovitz, 1985",-6.012415,-50.103449,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:05:11.316+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU","2021-03-24T00:43:28",31362,"Pará",2021,3,2,"2021-03-02T16:14:00","2021-03-25T22:41:01.000+00:00","2021-09-08T00:05:11.316+00:00","https://www.inaturalist.org/observations/71914200","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","nereston-camargo","71914200","nereston-camargo","Coordinate uncertainty increased to 31362m to protect threatened taxon","2021/03/02 4:14 PM UTC","iNaturalist research-grade observations","Pará, BR","Observations","3068029562","https://www.inaturalist.org/observations/71914200","74187","nereston-camargo","71914200","https://www.inaturalist.org/observations/71914200","iNaturalist","© nereston-camargo some rights reserved","16:14:00Z","nereston-camargo","161122238","Chiropotes utahickae Hershkovitz, 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","2596098766","Chiropotes utahickae Hershkovitz, 1985",-6.167982,-50.032442,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-07T23:29:57.222+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU","2019-04-28T11:40:01",31362,"Pará",2019,4,25,"2019-04-25T07:21:00","2020-03-26T16:00:55.000+00:00","2021-09-07T23:29:57.222+00:00","https://www.inaturalist.org/observations/23083550","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","crax","23083550","crax","Coordinate uncertainty increased to 31362m to protect threatened taxon","2019/04/25 7:21 AM HST","iNaturalist research-grade observations","Pará, BR","Observations","2596098766","https://www.inaturalist.org/observations/23083550","74187","crax","23083550","https://www.inaturalist.org/observations/23083550","iNaturalist","© crax some rights reserved","17:21:00Z","crax","52038855","Chiropotes utahickae Hershkovitz, 1985","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","3330438775","Chiropotes utahickae Hershkovitz, 1985",-6.094933,-49.955902,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-09-07T20:40:42.931+00:00","2021-09-08T00:07:53.593+00:00",281,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU","2021-07-17T13:56:40",31362,"Pará",2019,12,1,"2019-12-01T13:23:00","2021-07-17T15:58:01.000+00:00","2021-09-08T00:07:53.593+00:00","https://www.inaturalist.org/observations/87396567","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","NINA WENÓLI","87396567","ninawenoli","Coordinate uncertainty increased to 31362m to protect threatened taxon","2019/12/01 1:23 PM UTC","iNaturalist research-grade observations","Pará, BR","Observations","3330438775","https://www.inaturalist.org/observations/87396567","74187","NINA WENÓLI","87396567","https://www.inaturalist.org/observations/87396567","iNaturalist","By NINA WENÓLI no rights reserved","13:23:00Z","NINA WENÓLI","191760810","Chiropotes utahickae Hershkovitz, 1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","1321889105","Chiropotes utahickae Hershkovitz, 1985",-3.65,-52.37,"gass84,osiic,colmafu","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-09-05T14:54:29.296+00:00","2021-09-08T13:30:06.202+00:00",215,"bc092ff0-02e4-11dc-991f-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU",NA,NA,"Para",1986,9,28,"1986-09-28T00:00:00",NA,"2021-09-08T13:30:06.202+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","BR","none","none","Brazil",NA,"http://n2t.net/ark:/65665/3cf4fa93f-9d52-4210-8762-520c2fa15b7b",NA,NA,"28 Sep 1986","NMNH Extant Biology",NA,"Mammals","1321889105","http://n2t.net/ark:/65665/3cf4fa93f-9d52-4210-8762-520c2fa15b7b",NA,"G. Graves","549519",NA,"USNM",NA,NA,NA,NA,"Chiropotes utahickae Hershkovitz, 1985","Adult","99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",1,"FEMALE","SOUTH_AMERICA","586ee56e-b0fe-4dff-b7f9-aeb104f3308a","c0e59491-e319-4822-90bf-3e3c6fbd4a13","LHE 629","Ecological remarks by collector(s): no","http://biocol.org/urn:lsid:biocol.org:col:34871","South America, Brazil, Para","271","Degrees Minutes Seconds","Altamira, 52 Km SSW, E Bank Rio Xingu","PhysicalObject","Skin; Skull; Skeleton","271","Item was destructively sampled. Tissue and/or parts (0.25 g tissue in ETOH) were sent to Michael W. Nachman, The University of Arizona, on 7 Nov 2007. For reference, see Transaction No. 2045728 From L.H. Emmons 1986 field notes: \"white band across vulva. Tissues kept. Both femurs smashed.\"","Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","3027990072","Chiropotes utahickae Hershkovitz, 1985",-3.65,-52.37,"gass84,osiic,colmafu,inmafu","26098c25-8f7f-4c71-97ac-1d3db181c65e","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-08-22T19:56:00.303+00:00","2021-08-22T20:01:35.449+00:00",36,"bc092ff0-02e4-11dc-991f-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU",NA,NA,"Para",1986,9,28,"1986-09-28T00:00:00",NA,"2021-08-22T20:01:35.449+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","BR","none","none","Brazil",NA,"http://n2t.net/ark:/65665/36a4c7193-1004-401a-bb52-8fa8368c7e31",NA,NA,"28 Sep 1986",NA,NA,"Mammals","3027990072","http://n2t.net/ark:/65665/36a4c7193-1004-401a-bb52-8fa8368c7e31",NA,"G. Graves","13494461",NA,"USNM",NA,NA,NA,NA,"Chiropotes utahickae Hershkovitz, 1985","Adult",NA,1,"FEMALE","SOUTH_AMERICA","fd89af34-cc1b-4d99-b232-1657585d33bd","c0e59491-e319-4822-90bf-3e3c6fbd4a13","LHE 629","Ecological remarks by collector(s): no","http://grbio.org/cool/142r-0w94","South America, Brazil, Para","271","Degrees Minutes Seconds","Altamira, 52 Km SSW, E Bank Rio Xingu","PhysicalObject",NA,"271",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae","AC3XM47","in collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","3027993551","Chiropotes utahickae Hershkovitz, 1985",-3.65,-52.37,"gass84,colmafu,inmafu","26098c25-8f7f-4c71-97ac-1d3db181c65e","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-08-22T19:56:00.303+00:00","2021-08-22T20:01:35.113+00:00",36,"bc092ff0-02e4-11dc-991f-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU",NA,NA,"Para",1986,9,28,"1986-09-28T00:00:00",NA,"2021-08-22T20:01:35.113+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","BR","none","none","Brazil",NA,"http://n2t.net/ark:/65665/35d3252f2-1c4e-4ca1-8729-361bba36c0bd",NA,NA,"28 Sep 1986",NA,NA,"Mammals","3027993551","http://n2t.net/ark:/65665/35d3252f2-1c4e-4ca1-8729-361bba36c0bd",NA,"G. Graves","10953783",NA,"USNM",NA,NA,NA,NA,"Chiropotes utahickae Hershkovitz, 1985","Adult",NA,NA,"FEMALE","SOUTH_AMERICA","fd89af34-cc1b-4d99-b232-1657585d33bd","c0e59491-e319-4822-90bf-3e3c6fbd4a13","LHE 629","Ecological remarks by collector(s): no","http://grbio.org/cool/142r-0w94","South America, Brazil, Para","271","Degrees Minutes Seconds","Altamira, 52 Km SSW, E Bank Rio Xingu","PhysicalObject",NA,"271",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae","AC3XK65","in collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","3028021530","Chiropotes utahickae Hershkovitz, 1985",-3.65,-52.37,"gass84,osiic,colmafu,inmafu","26098c25-8f7f-4c71-97ac-1d3db181c65e","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-08-22T19:56:00.303+00:00","2021-08-22T20:01:36.538+00:00",36,"bc092ff0-02e4-11dc-991f-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU",NA,NA,"Para",1986,9,28,"1986-09-28T00:00:00",NA,"2021-08-22T20:01:36.538+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","BR","none","none","Brazil",NA,"http://n2t.net/ark:/65665/3b07909f7-9dd9-4861-a484-9885632994c1",NA,NA,"28 Sep 1986",NA,NA,"Mammals","3028021530","http://n2t.net/ark:/65665/3b07909f7-9dd9-4861-a484-9885632994c1",NA,"G. Graves","13494459",NA,"USNM",NA,NA,NA,NA,"Chiropotes utahickae Hershkovitz, 1985","Adult",NA,1,"FEMALE","SOUTH_AMERICA","fd89af34-cc1b-4d99-b232-1657585d33bd","c0e59491-e319-4822-90bf-3e3c6fbd4a13","LHE 629","Ecological remarks by collector(s): no","http://grbio.org/cool/142r-0w94","South America, Brazil, Para","271","Degrees Minutes Seconds","Altamira, 52 Km SSW, E Bank Rio Xingu","PhysicalObject",NA,"271",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae","AC3XM45","in collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","3028033858","Chiropotes utahickae Hershkovitz, 1985",-3.65,-52.37,"gass84,osiic,colmafu,inmafu","26098c25-8f7f-4c71-97ac-1d3db181c65e","bc092ff0-02e4-11dc-991f-b8a03c50a862","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2021-08-22T19:56:00.303+00:00","2021-08-22T20:01:38.399+00:00",36,"bc092ff0-02e4-11dc-991f-b8a03c50a862","MATERIAL_SAMPLE","PRESENT",5707306,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","utahickae","SPECIES","ACCEPTED","VU",NA,NA,"Para",1986,9,28,"1986-09-28T00:00:00",NA,"2021-08-22T20:01:38.399+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",TRUE,"WGS84","Mammalia","BR","none","none","Brazil",NA,"http://n2t.net/ark:/65665/3dbe5bea7-c567-45e9-901e-721dc1ce36a2",NA,NA,"28 Sep 1986",NA,NA,"Mammals","3028033858","http://n2t.net/ark:/65665/3dbe5bea7-c567-45e9-901e-721dc1ce36a2",NA,"G. Graves","13494460",NA,"USNM",NA,NA,NA,NA,"Chiropotes utahickae Hershkovitz, 1985","Adult",NA,1,"FEMALE","SOUTH_AMERICA","fd89af34-cc1b-4d99-b232-1657585d33bd","c0e59491-e319-4822-90bf-3e3c6fbd4a13","LHE 629","Ecological remarks by collector(s): no","http://grbio.org/cool/142r-0w94","South America, Brazil, Para","271","Degrees Minutes Seconds","Altamira, 52 Km SSW, E Bank Rio Xingu","PhysicalObject",NA,"271",NA,"Animalia, Chordata, Vertebrata, Mammalia, Eutheria, Primates, Haplorrhini, Pitheciidae, Pitheciinae","AC3XM46","in collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"succeded"
"Chiropotes utahicki","665727895","Chiropotes satanas utahicki Hershkovitz, 1985",-1.633333,-52.083332,"cdround,gass84,txmatfuz,colmafu,inmafu","41fc5c40-5e81-496f-9733-6b5681b3b7a5","7b8aff00-a9f8-11d8-944b-b8a03c50a862","3b84ff5b-79ce-427c-acb7-b4004e160f66","US","DWC_ARCHIVE","2021-03-28T07:21:58.756+00:00","2021-03-30T10:22:12.777+00:00",195,"7b8aff00-a9f8-11d8-944b-b8a03c50a862","PRESERVED_SPECIMEN","PRESENT",5786477,1,44,359,798,5486,2436405,5707306,5707306,"Chiropotes utahickae Hershkovitz, 1985","Animalia","Chordata","Primates","Pitheciidae","Chiropotes","Chiropotes utahickae","Chiropotes","satanas","SUBSPECIES","SYNONYM","VU",NA,NA,"Para",1951,8,24,"1951-08-24T00:00:00",NA,"2021-03-30T10:22:12.777+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none",FALSE,"WGS84","Mammalia","BR","none","none","Brazil","The Field Museum of Natural History","6d71159f-f614-4c24-a244-a6bf2f631c21",NA,NA,NA,NA,NA,"Mammals","665727895","6d71159f-f614-4c24-a244-a6bf2f631c21",NA,"Olalla brothers","124543",NA,"FMNH",NA,NA,NA,NA,"Chiropotes satanas utahicki Hershkovitz, 1985",NA,"99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",NA,"MALE","SOUTH_AMERICA","e71f36f1-e271-4720-a604-3c5a1418e7aa","6999cd7a-b2a3-4f56-b5c4-0b0f1b70adba","5191",NA,"FMNH","South America, Brazil, Para, Neotropics: Rio Xingu, east bank, Tapara",NA,NA,"Rio Xingu, east bank, Tapara","PhysicalObject","skin,skull","24",NA,"Animalia Chordata Mammalia Primates Pitheciidae",NA,NA,"utahicki",50,"144980","en","decimal degrees","not recorded","2623311","FMNH","mammals-24-sep-2020","http://fieldmuseum.org/about/copyright-information","Mammals","succeded"
