"","SUM_A","SUM_B","SUM_C","SUM_D","SUM_E","SUM_F","SUM_G","SUM_H","SUM_I","SUM_J","LTT"
"0",44,6,12,19.98,7,5,8,2,0,0,82
"1",40.48,6.32,10.54,17.28,6.78,3.96,6.18,1.44,0.18,1,74.6
"2",34.1,5.5,9.36,13.42,5.6,2.62,4.6,0.92,0.3,2,60.5
"3",27.96,5.46,7.56,10.12,4.42,1.84,3.2,0.64,0.5,1.9,47.6
"4",22.64,4.82,6.08,7.62,3.28,1.12,2.5,0.54,0.56,1.78,36.9
"5",18.42,4.02,5.04,5.92,2.44,0.74,2.08,0.46,0.66,1.7,29
"6",16.22,3.6,4.24,5.14,1.86,0.64,1.72,0.34,0.86,1.56,24.4
"7",15.84,3.16,3.74,4.64,1.66,0.6,1.6,0.32,1.02,1.54,22.5
"8",16.74,2.84,3.28,3.66,1.4,0.48,1.42,0.3,1.34,1.46,21.9
"9",16.24,2.52,3,3.04,1.28,0.38,1.26,0.28,1.54,1.42,20.5
"10",15.16,2.2,2.66,2.42,1.06,0.28,0.98,0.24,1.58,1.4,18.7
"11",14.16,1.8,2.42,1.9,0.86,0.16,0.66,0.18,1.68,1.3,17.4
"12",13.26,1.56,2.08,1.52,0.74,0.12,0.48,0.14,1.72,1.18,16.1
"13",20.62,1.24,1.7,1.1,0.66,0.08,0.32,0.14,1.64,1.1,23
"14",18.34,1.08,1.44,0.96,0.56,0.08,0.28,0.12,1.7,0.98,20.5
"15",16.6,0.84,1.32,0.74,0.42,0.08,0.28,0.12,1.84,0.88,18.5
"16",14.36,0.64,0.94,0.54,0.22,0.06,0.24,0.1,2.76,0.84,16.8
"17",12.7,0.5,0.72,0.44,0.14,0.04,0.2,0.08,5.68,0.8,17.2
"18",11.4,0.44,0.6,0.34,0.08,0.04,0.12,0.08,4.68,0.78,14.8
"19",9.52,0.34,0.48,0.34,0.06,0.04,0.14,0.08,4.58,0.68,12.8
"20",8.4,0.26,0.4,0.34,0.06,0.02,0.14,0.06,7.4,0.62,14.8
"21",7.3,0.24,0.4,0.34,0.04,0,1.08,0.06,6.5,0.52,12.7
"22",6.88,0.24,0.34,0.28,0.04,0,0.9,0.06,5.2,0.5,10.7
"23",6.08,0.2,0.2,0.24,0,0,0.58,0.04,4.08,0.44,8.7
"24",5.36,0.14,0.12,0.14,0,0,0.36,0.04,3.06,0.42,7.4
"25",4.44,0.08,0.04,0.16,0,0,0.22,0.04,2.24,0.4,5.7
"26",3.74,0.08,0.04,0.12,0,0,0.16,0.04,1.82,0.38,4.7
"27",5.52,0.08,0.04,0.12,0,0,0.14,0.08,1.5,0.34,6.1
"28",4.82,0.08,0.04,0.1,0,0,0.12,0.08,1.18,0.34,5.1
"29",4.18,0.08,0.04,0.12,0,0.02,0.08,0.06,0.92,0.32,4.4
"30",3.16,0.08,0.06,0.08,0,0.02,0.08,0.06,0.72,0.3,3.3
"31",2.84,0.04,0.06,0.06,0,0.04,0.08,0.06,0.62,0.28,3
"32",2.28,0.04,0.08,0.06,0,0.04,0.06,0.06,0.56,0.28,2.4
"33",2.2,0.08,0.08,0.06,0,0.06,0.04,0.06,0.5,0.28,2.3
"34",1.74,0.08,0.08,0.06,0,0.08,0.06,0.06,0.42,0.26,1.8
"35",1.56,0.08,0.08,0.04,0,0.12,0.06,0.08,0.32,0.26,1.6
"36",1.26,0.08,0.08,0.04,0,0.12,0.08,0.1,0.3,0.26,1.3
"37",1.16,0.08,0.08,0.04,0,0.12,0.08,0.1,0.26,0.28,1.2
"38",2.32,0.04,0.08,0.12,0,0.12,0.04,0.2,0.32,0.2,2.4
"39",2,0.04,0.12,0.12,0,0.12,0.04,0.2,0.28,0.2,2
"40",2,0,0.133333333333333,0.2,0,0.0666666666666667,0.133333333333333,0.266666666666667,0.333333333333333,0.266666666666667,2
"41",2,0,0.2,0.2,0,0.1,0.1,0.2,0.3,0.4,2
"42",2,0,0.2,0.2,0,0.1,0.1,0.2,0.3,0.4,2
"43",2,0,0.4,0.4,0,0,0,0.2,0,0.4,2
"44",2,0,0.4,0.4,0,0,0,0.2,0,0.4,2
"45",2,0,0.4,0.4,0,0,0,0.2,0,0.4,2
"46",2,0.2,0.4,0.4,0,0,0,0.2,0,0.4,2
